repo_full_name,login,name,num_commits,additions,deletions,avg_additions_per_commit,avg_deletions_per_commit,is_bot
meshtastic/firmware,markbirss,Mark Trevor Birss,105,0,0,0.0,0.0,False
meshtastic/firmware,Xaositek,Jason P,110,0,0,0.0,0.0,False
meshtastic/firmware,,,120,0,0,0.0,0.0,False
meshtastic/firmware,todd-herbert,,127,0,0,0.0,0.0,False
meshtastic/firmware,mverch67,Manuel,143,0,0,0.0,0.0,False
meshtastic/firmware,sachaw,Sacha Weatherstone,175,0,0,0.0,0.0,False
meshtastic/firmware,renovate[bot],,247,0,0,0.0,0.0,True
meshtastic/firmware,fifieldt,Tom Fifield,268,0,0,0.0,0.0,False
meshtastic/firmware,GUVWAF,,301,0,0,0.0,0.0,False
meshtastic/firmware,vidplace7,Austin,366,0,0,0.0,0.0,False
meshtastic/firmware,github-actions[bot],,524,0,0,0.0,0.0,True
meshtastic/firmware,jp-bennett,Jonathan Bennett,651,0,0,0.0,0.0,False
meshtastic/firmware,mc-hamster,Jm Casler,1155,0,0,0.0,0.0,False
meshtastic/firmware,caveman99,Thomas Göttgens,1898,0,0,0.0,0.0,False
meshtastic/firmware,geeksville,geeksville,2162,0,0,0.0,0.0,False
meshtastic/firmware,thebentern,Ben Meadors,2859,0,0,0.0,0.0,False
civiform/civiform,renovate[bot],renovate[bot],239,4626,5554,19.36,23.24,True
civiform/civiform,shane-exygy,shane-exygy,34,4431,2274,130.32,66.88,False
civiform/civiform,gwendolyngoetz,Gwendolyn Goetz,37,23239,2048,628.08,55.35,False
civiform/civiform,melanie-exygy,Melanie Barker,13,1247,349,95.92,26.85,False
civiform/civiform,tallulahkay,Tallulah Kay,61,4829,2957,79.16,48.48,False
civiform/civiform,rockycodes,rocky,15,1930,1829,128.67,121.93,False
civiform/civiform,AlvieH,Alvin Hermans,21,2961,705,141.0,33.57,False
civiform/civiform,swatkat1,Swathi Murthi,9,418,99,46.44,11.0,False
civiform/civiform,dependabot[bot],dependabot[bot],23,296,761,12.87,33.09,True
civiform/civiform,transifex-integration[bot],transifex-integration[bot],2,7353,446,3676.5,223.0,True
civiform/civiform,CallaJune,Calla,25,4578,1981,183.12,79.24,False
civiform/civiform,fernandez-jack,fernandez-jack,5,736,160,147.2,32.0,False
civiform/civiform,nb1701,Nick Burgan,9,787,28,87.44,3.11,False
civiform/civiform,azhangggggg,azhangggggg,3,237,21,79.0,7.0,False
civiform/civiform,alchemypls,alchemypls,1,8,0,8.0,0.0,False
civiform/civiform,osajulian-dev,osajulian-dev,3,8,2,2.67,0.67,False
iiab/iiab,Hermanio,Herman Õunapuu,1,0,0,0.0,0.0,False
iiab/iiab,floydianslips,Joshua Dennis,1,0,0,0.0,0.0,False
iiab/iiab,peckjon,Jon Peck,1,0,0,0.0,0.0,False
iiab/iiab,Daniel-Mietchen,Daniel Mietchen,1,0,0,0.0,0.0,False
iiab/iiab,adamsclafani,Adam Sclafani,2,0,0,0.0,0.0,False
iiab/iiab,icebox827,Denis Lafontant,2,0,0,0.0,0.0,False
iiab/iiab,rgangela99,Angela Liu,4,0,0,0.0,0.0,False
iiab/iiab,c-w,Clemens Wolff,4,0,0,0.0,0.0,False
iiab/iiab,dahagag,Mohamad Abuelhagag,9,0,0,0.0,0.0,False
iiab/iiab,EMG70,,10,0,0,0.0,0.0,False
iiab/iiab,lemueldsouza,,12,0,0,0.0,0.0,False
iiab/iiab,neomatrixcode,Josué Acevedo (Neomatrix),14,0,0,0.0,0.0,False
iiab/iiab,deldesir,Blondel Mondesir,29,0,0,0.0,0.0,False
iiab/iiab,mitra42,Mitra Ardron,37,0,0,0.0,0.0,False
iiab/iiab,cwivagg,,41,0,0,0.0,0.0,False
iiab/iiab,Akatama,Jimmy Lindsey,51,0,0,0.0,0.0,False
iiab/iiab,avni,avni,72,0,0,0.0,0.0,False
iiab/iiab,arky,Arky,80,0,0,0.0,0.0,False
iiab/iiab,m-anish,Anish Mangal,148,0,0,0.0,0.0,False
iiab/iiab,veeara282,,149,0,0,0.0,0.0,False
iiab/iiab,chapmanjacobd,Jacob Chapman,198,0,0,0.0,0.0,False
iiab/iiab,orblivion,Daniel Krol,228,0,0,0.0,0.0,False
iiab/iiab,tim-moody,Tim Moody,285,0,0,0.0,0.0,False
iiab/iiab,Ark74,Luis Guzman,311,0,0,0.0,0.0,False
iiab/iiab,georgejhunt,,736,0,0,0.0,0.0,False
iiab/iiab,jvonau,Jerry Vonau,1538,0,0,0.0,0.0,False
iiab/iiab,holta,A Holt,10580,0,0,0.0,0.0,False
