repo_full_name,login,name,num_commits,additions,deletions,avg_additions_per_commit,avg_deletions_per_commit,is_bot
CodeForAfrica/ui,DavidTheProgrammer,Muma,6,0,0,0.0,0.0,False
CodeForAfrica/ui,saminegash,Samuel Negash Hailu,14,0,0,0.0,0.0,False
CodeForAfrica/ui,KhadijaMahanga,Khadija Mahanga,22,0,0,0.0,0.0,False
CodeForAfrica/ui,VinneyJ,Vincent Otieno,33,0,0,0.0,0.0,False
CodeForAfrica/ui,thepsalmist,Xavier Frankline Odhiambo,45,0,0,0.0,0.0,False
CodeForAfrica/ui,dependabot-preview[bot],,79,0,0,0.0,0.0,True
CodeForAfrica/ui,dependabot[bot],,105,0,0,0.0,0.0,True
CodeForAfrica/ui,KobbyMmo,Obed Amoasi,229,0,0,0.0,0.0,False
CodeForAfrica/ui,gertie-sheshe,Gertrude,327,0,0,0.0,0.0,False
CodeForAfrica/ui,m453h,Michael Hudson Nkotagu,382,0,0,0.0,0.0,False
CodeForAfrica/ui,esirK,Isaiah King'ori,401,0,0,0.0,0.0,False
CodeForAfrica/ui,nerdlet,Brenda Nyokabi Bucha,1018,0,0,0.0,0.0,False
CodeForAfrica/ui,koechkevin,KEVIN KOECH,1671,0,0,0.0,0.0,False
CodeForAfrica/ui,kelvinkipruto,Kipruto,2520,0,0,0.0,0.0,False
CodeForAfrica/ui,kilemensi,Clemence Kyara,3069,0,0,0.0,0.0,False
CodeForAfrica/sensors.AFRICA,snyk-bot,Snyk bot,1,1,1,1.0,1.0,True
CodeForAfrica/sensors.AFRICA,gideonmaina,Giddie,2,77,14,38.5,7.0,False
CodeForAfrica/sensors.AFRICA,chegejames,Chege James,3,22,27,7.33,9.0,False
CodeForAfrica/sensors.AFRICA,usmanbiu,,3,16,17,5.33,5.67,False
CodeForAfrica/sensors.AFRICA,koechkevin,KEVIN KOECH,3,23,6,7.67,2.0,False
CodeForAfrica/sensors.AFRICA,mtuchi,Emmanuel Evance,4,158,44,39.5,11.0,False
CodeForAfrica/sensors.AFRICA,m453h,Michael Hudson Nkotagu,5,272,237,54.4,47.4,False
CodeForAfrica/sensors.AFRICA,dependabot-preview[bot],,5,457,26,91.4,5.2,True
CodeForAfrica/sensors.AFRICA,KobbyMmo,Obed Amoasi,5,3723,4168,744.6,833.6,False
CodeForAfrica/sensors.AFRICA,esirK,Isaiah King'ori,11,168,20,15.27,1.82,False
CodeForAfrica/sensors.AFRICA,karimkawambwa,Karim,15,558,278,37.2,18.53,False
CodeForAfrica/sensors.AFRICA,thepsalmist,Xavier Frankline Odhiambo,15,16411,1546,1094.07,103.07,False
CodeForAfrica/sensors.AFRICA,phillipahereza,,17,1468,903,86.35,53.12,False
CodeForAfrica/sensors.AFRICA,KhadijaMahanga,Khadija Mahanga,20,3250,1059,162.5,52.95,False
CodeForAfrica/sensors.AFRICA,kelvinkipruto,Kipruto,27,14312,14147,530.07,523.96,False
CodeForAfrica/sensors.AFRICA,dependabot[bot],,33,2735,1818,82.88,55.09,True
CodeForAfrica/sensors.AFRICA,DavidLemayian,David Lemayian ✨,40,16304,52414,407.6,1310.35,False
CodeForAfrica/sensors.AFRICA,kilemensi,Clemence Kyara,303,66133,68475,218.26,225.99,False
CodeForAfrica/sensors.AFRICA,nerdlet,Brenda Nyokabi Bucha,429,62595,83458,145.91,194.54,False
codeforamerica/form-flow,deepsourcebot,DeepSource Bot,1,8,0,8.0,0.0,True
codeforamerica/form-flow,ShaynaCummings,Shayna Cummings,1,5,0,5.0,0.0,False
codeforamerica/form-flow,jnf,jey,1,5,0,5.0,0.0,False
codeforamerica/form-flow,,,1,671,89,671.0,89.0,False
codeforamerica/form-flow,devowhippit,Ellie Hirth,1,97,15,97.0,15.0,False
codeforamerica/form-flow,guiburato,,2,10,5,5.0,2.5,False
codeforamerica/form-flow,mtodd-cfa,Morgan Todd,3,135,25,45.0,8.33,False
codeforamerica/form-flow,mpidcock,Martha Pidcock,6,1583,749,263.83,124.83,False
codeforamerica/form-flow,tdooner,Tom Dooner,7,160,47,22.86,6.71,False
codeforamerica/form-flow,analoo,Ana Medrano Fernandez,15,1342,175,89.47,11.67,False
codeforamerica/form-flow,lkemperman-cfa,Lauren Kemperman,25,3589,1212,143.56,48.48,False
codeforamerica/form-flow,sree-cfa,Sree,28,2553,758,91.18,27.07,False
codeforamerica/form-flow,vrajmohan,Vraj Mohan,43,887,969,20.63,22.53,False
codeforamerica/form-flow,cy-by,Cypress,54,11391,7188,210.94,133.11,False
codeforamerica/form-flow,enyia21,Chibuisi Enyia,85,12045,4101,141.71,48.25,False
codeforamerica/form-flow,cfa-platforms-robot,CfA Platforms Robot,97,849,292,8.75,3.01,True
codeforamerica/form-flow,bencalegari,Ben Calegari,121,16486,5183,136.25,42.83,False
codeforamerica/form-flow,bseeger,B. Seeger,212,29482,18307,139.07,86.35,False
codeforamerica/form-flow,cram-cfa,Marc P,220,17377,15427,78.99,70.12,False
codeforamerica/form-flow,spokenbird,Alex Gonzalez,244,33897,15924,138.92,65.26,False
codeforamerica/form-flow,dependabot[bot],,528,2211,2076,4.19,3.93,True
codeforamerica/vita-min,alindeman,Andy Lindeman,1,2,2,2.0,2.0,False
codeforamerica/vita-min,miketlawrence,Mike Lawrence,1,106,0,106.0,0.0,False
codeforamerica/vita-min,bencalegari,Ben Calegari,1,7,0,7.0,0.0,False
codeforamerica/vita-min,robdiciuccio,Rob DiCiuccio,1,2,0,2.0,0.0,False
codeforamerica/vita-min,abibbs-cfa,,1,22,1,22.0,1.0,False
codeforamerica/vita-min,squanto,Hugo Melo,1,3,1,3.0,1.0,False
codeforamerica/vita-min,phm200,Peter Miller,2,16,2,8.0,1.0,False
codeforamerica/vita-min,kenmccrary,,2,5,5,2.5,2.5,False
codeforamerica/vita-min,itrujillopriego,Ivan Trujillo Priego,2,801,66,400.5,33.0,False
codeforamerica/vita-min,GAV07,GAV_,3,30,3,10.0,1.0,False
codeforamerica/vita-min,afiakyalo,Afia Kyalo,3,986,629,328.67,209.67,False
codeforamerica/vita-min,lkogler,Laura Kogler,6,237,172,39.5,28.67,False
codeforamerica/vita-min,lkemperman-cfa,Lauren Kemperman,6,2761,1402,460.17,233.67,False
codeforamerica/vita-min,sartan,Alex Sartan,8,928,287,116.0,35.88,False
codeforamerica/vita-min,bensheldon,Ben Sheldon,11,1090,71,99.09,6.45,False
codeforamerica/vita-min,ddefigueiredo,,17,885,381,52.06,22.41,False
codeforamerica/vita-min,combinatorist,Timothy John Perisho Eccleston,21,124,37,5.9,1.76,False
codeforamerica/vita-min,mluedke2,Matt Luedke,30,5755,1310,191.83,43.67,False
codeforamerica/vita-min,nishinelson,Nishi Nelson,30,2920,2260,97.33,75.33,False
codeforamerica/vita-min,spompea-cfa,,36,4535,2922,125.97,81.17,False
codeforamerica/vita-min,mmazanec22,Melanie Mazanec,40,11292,2302,282.3,57.55,False
codeforamerica/vita-min,cy-by,Cypress,40,3575,1238,89.38,30.95,False
codeforamerica/vita-min,transifex-integration[bot],,43,7477,6627,173.88,154.12,True
codeforamerica/vita-min,jalcine-cfa,Jacky Alcine,45,4283,1952,95.18,43.38,False
codeforamerica/vita-min,jachan,John Chan,48,7176,2400,149.5,50.0,False
codeforamerica/vita-min,jnf,jey,55,8668,1118,157.6,20.33,False
codeforamerica/vita-min,benjaminleesmith,Benjamin Smith,58,4726,3586,81.48,61.83,False
codeforamerica/vita-min,aloverso,Anne LoVerso,76,16943,4046,222.93,53.24,False
codeforamerica/vita-min,powersurge360,Kevin Diale,83,13046,10050,157.18,121.08,False
codeforamerica/vita-min,loumoore,Lou Moore,95,10639,6762,111.99,71.18,False
codeforamerica/vita-min,mquadri23,,96,10307,5233,107.36,54.51,False
codeforamerica/vita-min,rickreyhsig,Ricardo Kreyhsig,102,10175,1384,99.75,13.57,False
codeforamerica/vita-min,bvandgrift,Ben Vandgrift,107,6801,3824,63.56,35.74,False
codeforamerica/vita-min,dependabot[bot],,110,1111,1154,10.1,10.49,True
codeforamerica/vita-min,anisharamnani,Anisha Ramnani,110,17776,13027,161.6,118.43,False
codeforamerica/vita-min,DrewProebstel,Drew Proebstel,112,12497,26425,111.58,235.94,False
codeforamerica/vita-min,jonsgreen,Jonathan,144,50360,44266,349.72,307.4,False
