Title,Project Link,Github,Github Alias,Final Selected,num_developers,total_commits,first_commit_date,last_commit_date,file_count,"""Contact Us""",Formal Feedback
Node-SparkXML ,,https://github.com/codeforamerica/node-sparkxml,codeforamerica/node-sparkxml,No,3,35,2012-09-05T03:55:55+00:00,2026-01-03T01:22:57+00:00,7,,
Ohana Web Search,,https://github.com/codeforamerica/ohana-web-search,codeforamerica/ohana-web-search,No,14,2848,2013-03-29T05:42:47+00:00,2024-04-25T01:49:50+00:00,385,,
Prior Year Access,https://pya.fileyourstatetaxes.org/,https://github.com/codeforamerica/pya,codeforamerica/pya,Yes,10,280,2025-05-21T20:41:28+00:00,2026-05-27T18:56:25+00:00,236,Yes,No
RxNorm API,,https://github.com/codeforamerica/rxNorm_php,codeforamerica/rxNorm_php,No,1,25,2011-06-28T18:53:55+00:00,2011-08-06T04:23:49+00:00,5,,
safety-net-blueprint,,https://github.com/codeforamerica/safety-net-blueprint,codeforamerica/safety-net-blueprint,No,4,742,2025-12-08T18:53:15+00:00,2026-06-03T19:22:29+00:00,393,,
State Hosted Integrated Benefits Application,mnbenefits.mn.gov,https://github.com/codeforamerica/shiba,codeforamerica/shiba,No,23,2495,2020-05-06T15:36:11+00:00,2023-04-05T19:24:26+00:00,726,,
link shortener,,https://github.com/codeforamerica/shortener,codeforamerica/shortener,No,2,23,2020-08-04T18:34:12+00:00,2024-04-29T20:42:53+00:00,85,,
speedlify,https://speedlify.codeforamerica.org/,https://github.com/codeforamerica/speedlify-cfa,codeforamerica/speedlify-cfa,No,8,275,2020-06-13T20:04:32+00:00,2024-06-11T17:44:34+00:00,35,,
Surveyjs Creator,,https://github.com/codeforamerica/surveyjs-creator-angular,codeforamerica/surveyjs-creator-angular,No,3,33,2023-12-06T15:07:37+00:00,2024-05-22T16:42:50+00:00,38,,
Tax Benefits,,https://github.com/codeforamerica/tax-benefits-backend,codeforamerica/tax-benefits-backend,Yes,11,196,2024-04-12T19:06:39+00:00,2026-06-02T23:46:11+00:00,231,No,No
OpenTofu ,,https://github.com/codeforamerica/tofu-modules-aws-serverless-database,codeforamerica/tofu-modules-aws-serverless-database,No,3,40,2024-08-07T17:46:12+00:00,2026-03-24T15:39:21+00:00,31,,
The Digital Services Playbook ,https://playbook.usds.gov/,https://github.com/codeforamerica/usds-playbook,codeforamerica/usds-playbook,No,36,284,2014-08-05T22:40:15+00:00,2025-01-24T20:15:08+00:00,144,,
USWDS ,https://designsystem.digital.gov/,https://github.com/codeforamerica/uswds-site,codeforamerica/uswds-site,No,82,11645,2016-07-27T14:34:42+00:00,2025-01-24T23:24:30+00:00,1492,,
Vita-Min,https://www.fileyourstatetaxes.org/en,https://github.com/codeforamerica/vita-min,codeforamerica/vita-min,Yes,53,7259,2019-11-05T00:58:18+00:00,2026-05-29T17:28:27+00:00,4375,No,No
codeforberlin/we-count,,https://github.com/codeforberlin/we-count,codeforberlin/we-count,Yes,4,538,2021-11-30T07:44:00+00:00,2026-05-22T17:06:56+00:00,72,No,No
BaumBie,https://codefor.de/projekte/baumbie_bielefeld/,https://github.com/codeforbielefeld/baumbie,codeforbielefeld/baumbie,Yes,7,263,2024-01-31T21:07:32+00:00,2026-05-07T17:54:15+00:00,171,No,No
Linked Open Statistical Data Bielefeld,,https://github.com/codeforbielefeld/losdb,codeforbielefeld/losdb,Yes,2,28,2020-09-21T20:20:50+00:00,2025-07-28T14:21:42+00:00,36,No,No
Denkmal-4D-Koeln,https://codefor.de/projekte/cologne-denkmal4d/,https://github.com/codeforcologne/Denkmal-4D-Koeln,codeforcologne/Denkmal-4D-Koeln,Yes,3,39,2024-05-31T15:50:58+00:00,2026-03-15T09:54:07+00:00,69,Yes,No
BirdXplorer,,https://github.com/codeforjapan/BirdXplorer,codeforjapan/BirdXplorer,Yes,9,740,2023-09-24T01:43:12+00:00,2026-06-04T08:16:40+00:00,196,No,No
codeforjapan/decidim-cfj,,https://github.com/codeforjapan/decidim-cfj,codeforjapan/decidim-cfj,Yes,13,2044,2020-08-29T07:36:18+00:00,2026-06-02T08:44:53+00:00,991,No,No
CONSUL DEMOCRACY,https://consuldemocracy.org/,https://github.com/CodeforKarlsruhe/consuldemocracy,CodeforKarlsruhe/consuldemocracy,No,149,21078,2015-07-15T11:32:13+00:00,2026-04-23T12:54:19+00:00,8432,,
Leipzig giesst,https://giessdeinviertel.codeforleipzig.de/,https://github.com/CodeforLeipzig/leipziggiesst,CodeforLeipzig/leipziggiesst,Yes,16,1359,2019-08-05T19:46:41+00:00,2026-03-05T08:06:40+00:00,345,Yes,No
lvz-viz,https://lvz-viz.leipzig.codefor.de/,https://github.com/CodeforLeipzig/lvz-viz,CodeforLeipzig/lvz-viz,No,14,1244,2014-06-02T17:55:03+00:00,2026-06-04T02:09:50+00:00,129,,
Leipziger Weihnachtsmarktkarte,https://wo-ist-weihnachtsmarkt.codeforleipzig.de/,https://github.com/CodeforLeipzig/weihnachtsmarktkarte,CodeforLeipzig/weihnachtsmarktkarte,Yes,9,454,2022-11-09T12:12:08+00:00,2025-12-17T18:46:37+00:00,688,No,No
Klimawatch,https://klimawatch.de/,https://github.com/codeformuenster/klimawatch,codeformuenster/klimawatch,Yes,15,264,2019-10-31T16:54:01+00:00,2026-04-23T17:16:20+00:00,199,Yes,No
Cannabis Legislation Tracker,https://tracker.dankreports.com/,https://github.com/Dan-K-Reports/cannabis-legislation-tracker,Dan-K-Reports/cannabis-legislation-tracker,No,1,364,2025-11-19T20:29:49+00:00,2026-06-03T20:41:52+00:00,13,,
Decidim,https://decidim.org/,https://github.com/decidim/decidim,decidim/decidim,No,151,7886,2016-08-17T10:41:48+00:00,2026-06-05T09:48:09+00:00,11453,,
UK elections database,https://elections.democracyclub.org.uk/,https://github.com/DemocracyClub/EveryElection,DemocracyClub/EveryElection,No,17,2485,2016-10-07T10:22:21+00:00,2026-06-03T10:37:13+00:00,514,,
Decidim Census,https://decidim-census.digidemlab.org/,https://github.com/digidemlab/decidim-census,digidemlab/decidim-census,Yes,2,1486,2021-07-05T08:27:36+00:00,2026-06-05T06:04:00+00:00,209,No,No
Din Riksdag,https://dinriksdag.se/,https://github.com/DinRiksdag/dinriksdag,DinRiksdag/dinriksdag,No,1,48,2018-03-20T09:59:25+00:00,2019-07-10T16:12:30+00:00,498,,
OpenRemiss,,https://github.com/DinRiksdag/OpenRemiss,DinRiksdag/OpenRemiss,No,2,25,2018-09-02T13:44:49+00:00,2024-04-25T19:23:44+00:00,35,,
pybikes ,https://citybik.es/,https://github.com/eskerda/pybikes,eskerda/pybikes,No,96,1925,2010-07-16T10:11:30+00:00,2026-05-20T12:26:38+00:00,194,,
EDIA,https://ia.vialibre.org.ar/,https://github.com/fvialibre/heseia-sentence-bias-dataset,fvialibre/heseia-sentence-bias-dataset,No,1,9,2025-05-20T19:55:17+00:00,2025-09-11T22:00:12+00:00,2,,
g0v/tw-rental-house-data,,https://github.com/g0v/tw-rental-house-data,g0v/tw-rental-house-data,Yes,9,383,2018-05-14T13:50:38+00:00,2026-05-03T09:05:04+00:00,251,No,No
Government of Canada Spending ,https://goc-spending.github.io/,https://github.com/GoC-Spending/contracts-data,GoC-Spending/contracts-data,No,2,453,2022-03-21T18:49:29+00:00,2024-06-05T05:21:55+00:00,15642,,
Perma,https://perma.cc/,https://github.com/harvard-lil/perma,harvard-lil/perma,No,39,9362,2013-05-06T20:17:55+00:00,2026-06-04T18:35:11+00:00,829,,
Internet in a Box ,https://internet-in-a-box.org/,https://github.com/iiab/iiab,iiab/iiab,Yes,27,14739,2017-05-27T18:09:50+00:00,2026-06-05T01:39:11+00:00,1058,Yes,No
"Is This Blocked in My Department
",https://isthisblockedinmydepartment.ca/,https://github.com/isthisblocked/isthisblockedinmydepartment.ca,isthisblocked/isthisblockedinmydepartment.ca,No,1,212,2018-09-29T23:36:32+00:00,2024-03-06T05:30:21+00:00,41,,
LimeSurvey,https://www.limesurvey.org/,https://github.com/LimeSurvey/LimeSurvey,LimeSurvey/LimeSurvey,No,238,42988,2003-03-07T13:58:22+00:00,2026-06-05T10:19:17+00:00,21427,,
Luftdata,https://luftdata.se/,https://github.com/luftdata/luftdata.se,luftdata/luftdata.se,No,4,206,2018-01-31T12:46:29+00:00,2025-04-11T12:21:53+00:00,251,,
