var_a,var_b,rho,p_value,n_pairs,significant_uncorrected,significant_fdr
median_time_to_first_response_issues_hours,median_pr_review_turnaround_hours,0.4092,0.037898,26,True,False
stars,hhi_no_bots,-0.2698,0.046369,55,True,False
change_request_acceptance_ratio,median_pr_review_turnaround_hours,-0.3198,0.05364,37,False,False
hhi_no_bots,network_density,0.3178,0.05523,37,False,False
total_commits,bus_factor_no_bots,0.2597,0.055556,55,False,False
health_percentage,median_time_to_first_response_issues_hours,-0.3464,0.06078,30,False,False
forks,hhi_no_bots,-0.2514,0.064073,55,False,False
total_commits,bus_factor,0.2383,0.079719,55,False,False
stars,network_density,-0.2898,0.081903,37,False,False
total_commits,median_pr_review_turnaround_hours,-0.2893,0.082473,37,False,False
num_developers,median_time_to_first_response_issues_hours,-0.3138,0.091285,30,False,False
age_years,stale_issue_ratio,-0.2819,0.106218,34,False,False
burstiness_cv,median_time_to_first_response_issues_hours,0.2962,0.111981,30,False,False
stale_issue_ratio,median_pr_review_turnaround_hours,0.3323,0.112671,24,False,False
total_commits,burstiness_cv,-0.216,0.1133,55,False,False
stars,burstiness_cv,-0.2141,0.116459,55,False,False
herfindahl_hirschman_index,stale_issue_ratio,0.2581,0.146982,33,False,False
age_years,burstiness_cv,-0.1975,0.14844,55,False,False
total_commits,stale_issue_ratio,-0.2507,0.15264,34,False,False
total_commits,core_contributor_count,0.1899,0.161055,56,False,False
total_commits,change_request_acceptance_ratio,-0.2031,0.161554,49,False,False
bus_factor,change_request_acceptance_ratio,-0.2028,0.166813,48,False,False
stale_issue_ratio,network_density,0.2828,0.180599,24,False,False
num_developers,burstiness_cv,-0.1819,0.183723,55,False,False
stale_issue_ratio,change_request_acceptance_ratio,-0.2312,0.195516,33,False,False
bus_factor_no_bots,change_request_acceptance_ratio,-0.1879,0.200875,48,False,False
num_developers,median_pr_review_turnaround_hours,-0.214,0.203531,37,False,False
age_years,core_contributor_count,0.1643,0.226266,56,False,False
hhi_no_bots,median_pr_review_turnaround_hours,0.1922,0.254496,37,False,False
num_developers,health_percentage,0.1523,0.262481,56,False,False
stale_issue_ratio,core_contributor_count,-0.1959,0.26685,34,False,False
herfindahl_hirschman_index,network_density,0.1868,0.26829,37,False,False
health_percentage,core_contributor_count,0.1483,0.275234,56,False,False
burstiness_cv,stale_issue_ratio,0.1949,0.277066,33,False,False
forks,network_density,-0.181,0.283666,37,False,False
burstiness_cv,network_density,0.172,0.308811,37,False,False
stars,bus_factor,0.1394,0.309967,55,False,False
stars,health_percentage,0.1356,0.319128,56,False,False
stars,bus_factor_no_bots,0.1355,0.324107,55,False,False
forks,stale_issue_ratio,-0.1676,0.343355,34,False,False
health_percentage,median_pr_review_turnaround_hours,-0.1573,0.35259,37,False,False
health_percentage,network_density,-0.1452,0.391176,37,False,False
stars,stale_issue_ratio,-0.1512,0.393253,34,False,False
health_percentage,change_request_acceptance_ratio,0.124,0.396072,49,False,False
age_years,network_density,-0.1428,0.399237,37,False,False
stars,median_pr_review_turnaround_hours,0.1405,0.406731,37,False,False
forks,bus_factor,0.1116,0.417096,55,False,False
forks,bus_factor_no_bots,0.1107,0.420878,55,False,False
herfindahl_hirschman_index,median_pr_review_turnaround_hours,0.1251,0.460658,37,False,False
bus_factor_no_bots,burstiness_cv,-0.09,0.513506,55,False,False
median_time_to_first_response_issues_hours,core_contributor_count,-0.1201,0.527353,30,False,False
herfindahl_hirschman_index,health_percentage,0.0832,0.546134,55,False,False
burstiness_cv,health_percentage,-0.0825,0.549476,55,False,False
age_years,change_request_acceptance_ratio,-0.085,0.561328,49,False,False
num_developers,change_request_acceptance_ratio,-0.0819,0.576048,49,False,False
burstiness_cv,change_request_acceptance_ratio,0.0736,0.619243,48,False,False
change_request_acceptance_ratio,network_density,-0.0829,0.625894,37,False,False
stars,change_request_acceptance_ratio,0.0704,0.630748,49,False,False
forks,burstiness_cv,-0.0635,0.645197,55,False,False
bus_factor,burstiness_cv,-0.0601,0.662713,55,False,False
hhi_no_bots,change_request_acceptance_ratio,0.0618,0.676547,48,False,False
bus_factor,median_pr_review_turnaround_hours,-0.0698,0.681404,37,False,False
age_years,health_percentage,0.0513,0.707144,56,False,False
stale_issue_ratio,health_percentage,-0.066,0.710824,34,False,False
herfindahl_hirschman_index,median_time_to_first_response_issues_hours,0.067,0.725151,30,False,False
burstiness_cv,core_contributor_count,-0.0363,0.792625,55,False,False
bus_factor_no_bots,health_percentage,0.034,0.805223,55,False,False
median_pr_review_turnaround_hours,core_contributor_count,-0.0313,0.854181,37,False,False
bus_factor_no_bots,median_time_to_first_response_issues_hours,-0.0321,0.866462,30,False,False
bus_factor,median_time_to_first_response_issues_hours,-0.0321,0.866462,30,False,False
forks,change_request_acceptance_ratio,0.0245,0.867075,49,False,False
forks,median_pr_review_turnaround_hours,0.0271,0.873494,37,False,False
change_request_acceptance_ratio,core_contributor_count,-0.0222,0.879684,49,False,False
burstiness_cv,herfindahl_hirschman_index,-0.0208,0.880131,55,False,False
