repo_full_name,change_request_acceptance_ratio,bus_factor,bus_factor_no_bots,bot_contributor_count,bot_commit_count,contribution_types,organizational_diversity,newcomer_friendly_labels,total_labels,release_frequency_per_month,fork_count,burstiness_cv,burstiness_mean,burstiness_std,median_defect_resolution_days,osi_approved_license,elephant_factor,elephant_factor_no_bots,contributor_new_count,contributor_casual_count,contributor_regular_count,median_time_to_first_response_issues_hours,median_time_to_first_response_prs_hours,time_to_first_response_issues_sample_size,time_to_first_response_prs_sample_size,readme_last_updated,contributing_last_updated,stale_issue_ratio,stale_issue_count,open_issue_count,median_pr_review_turnaround_hours,avg_review_comments_per_pr,herfindahl_hirschman_index,hhi_no_bots,hhi_known_orgs_only,unknown_org_contributor_count,contributor_org_types,dora_deployment_frequency_per_month,dora_median_lead_time_days,dora_change_failure_rate,core_contributor_count,periphery_contributor_count,core_periphery_ratio,network_density,avg_degree_centrality
codeforjapan/decidim-cfj,0.9262,1,1,2,46,code_commits=500;pull_requests=623;issues=0,Unknown=1;Tatsu-zine Publishing Inc.=2;Designium=1,good first issue;help wanted,17,1.58,42,0.82,10.79,8.85,9.5,True,1,1,0,0,0,66.8,1.7,100,100,2021-08-07T02:26:35+00:00,,1.0,30,30,3.7,0.04,5172.3,5172.3,9670.4,1,government=0;academic=0;nonprofit=0;company=3;unknown=1,1.36,9.1,0.0225,0,2,0.0,1.0,1.0
g0v/tw-rental-house-data,0.3691,1,1,1,5,code_commits=383;pull_requests=149;issues=0,Unknown=7;transurbantech @silver-gate  @silver-lining-esg @goldax-llc=1,good first issue;help wanted,15,0.1,32,0.89,3.69,3.3,9.0,True,1,1,0,0,0,30.1,,54,100,2024-01-12T08:48:49+00:00,,1.0,23,23,731.7,0.02,9947.2,9530.4,10000.0,7,government=0;academic=0;nonprofit=0;company=3;unknown=5,0.04,29.2,0.0,0,2,0.0,1.0,1.0
codeforbielefeld/baumbie,0.7955,1,1,0,0,code_commits=263;pull_requests=44;issues=0,Unknown=10;Lichtwart=2,good first issue;help wanted,9,,2,1.51,5.37,8.09,,False,1,1,0,0,0,361.6,86.0,86,44,2025-07-19T08:01:24+00:00,,1.0,44,44,235.3,0.11,7805.4,3388.8,10000.0,10,government=0;academic=0;nonprofit=0;company=4;unknown=8,,,0.0,0,3,0.0,1.0,1.0
codeforbielefeld/losdb,,1,1,0,0,code_commits=28;pull_requests=0;issues=0,NinjaConcept GmbH=1;Unknown=1,good first issue;help wanted,9,,0,0.63,3.11,1.97,,False,1,1,0,0,0,,,0,0,2021-07-19T23:05:54+00:00,,,0,0,,,9311.2,9311.2,10000.0,1,government=0;academic=0;nonprofit=0;company=1;unknown=1,,,,0,0,,,
codeformuenster/klimawatch,0.8261,2,2,1,29,code_commits=264;pull_requests=138;issues=0,Unknown=12;Code for Münster=2;giantswarm=2;Mediform=2;point8=1,good first issue;help wanted,15,,20,0.93,2.21,2.06,,True,1,1,0,0,0,73.1,169.1,61,100,2026-04-23T17:16:20+00:00,,1.0,17,17,151.5,0.13,4727.8,4678.1,6988.9,12,government=0;academic=0;nonprofit=0;company=8;unknown=11,,,0.0,4,7,0.3636,0.2182,0.2182
codeforberlin/we-count,1.0,1,1,0,0,code_commits=500;pull_requests=1;issues=0,Unknown=5,good first issue;help wanted,9,,2,1.09,8.44,9.16,82.9,True,1,1,0,0,0,1275.9,,37,1,2026-03-20T18:14:51+00:00,,0.6667,4,6,,0.0,10000.0,5822.2,,5,government=0;academic=0;nonprofit=0;company=1;unknown=4,,,0.0,0,0,,,
openlegaldata/oldp,0.5732,1,1,5,37,code_commits=421;pull_requests=164;issues=0,commoncrawl=5;elastic=1;Unknown=2;Ulm University=1,good first issue;help wanted,12,,25,0.95,4.85,4.61,10.8,True,1,1,0,0,0,73.6,34.9,50,100,2026-05-20T09:10:43+00:00,,0.625,5,8,,0.0,9015.9,9013.7,9831.2,2,government=0;academic=1;nonprofit=0;company=7;unknown=6,,,0.0,0,0,,,
oklabflensburg/open-emergency-map,,1,1,0,0,code_commits=9;pull_requests=0;issues=0,oklabflensburg=2,good first issue;help wanted,10,,0,0.54,3.0,1.63,,False,1,1,0,0,0,,,0,0,2025-06-02T14:09:33+00:00,2025-06-02T12:14:43+00:00,,0,0,,,10000.0,10000.0,10000.0,0,government=0;academic=0;nonprofit=0;company=2;unknown=0,,,,0,0,,,
oklabflensburg/oddfl,1.0,1,1,0,0,code_commits=111;pull_requests=1;issues=0,oklabflensburg=2;Unknown=2,good first issue;help wanted,10,,3,1.06,10.09,10.65,,False,1,1,0,0,0,11.3,6.9,1,1,2025-02-06T20:20:16+00:00,2024-02-17T18:34:12+00:00,,0,0,6.9,2.0,7662.5,7574.9,10000.0,2,government=0;academic=0;nonprofit=0;company=3;unknown=1,0.04,,0.0,1,2,0.3333,0.6667,0.6667
oklabflensburg/open-parcel-map,1.0,1,1,1,1,code_commits=27;pull_requests=1;issues=0,oklabflensburg=2,good first issue;help wanted,11,,2,0.94,3.86,3.64,,False,1,1,0,0,0,,,0,1,2025-03-17T10:39:10+00:00,2024-12-11T15:48:06+00:00,,0,0,,0.0,10000.0,10000.0,10000.0,0,government=0;academic=0;nonprofit=0;company=2;unknown=0,,,0.0,0,0,,,
