repo_full_name,change_request_acceptance_ratio,bus_factor,bus_factor_no_bots,bot_contributor_count,bot_commit_count,contribution_types,organizational_diversity,newcomer_friendly_labels,total_labels,release_frequency_per_month,fork_count,burstiness_cv,burstiness_mean,burstiness_std,median_defect_resolution_days,osi_approved_license,elephant_factor,elephant_factor_no_bots,contributor_new_count,contributor_casual_count,contributor_regular_count,median_time_to_first_response_issues_hours,median_time_to_first_response_prs_hours,time_to_first_response_issues_sample_size,time_to_first_response_prs_sample_size,readme_last_updated,contributing_last_updated,stale_issue_ratio,stale_issue_count,open_issue_count,median_pr_review_turnaround_hours,avg_review_comments_per_pr,herfindahl_hirschman_index,hhi_no_bots,hhi_known_orgs_only,unknown_org_contributor_count,contributor_org_types,dora_deployment_frequency_per_month,dora_median_lead_time_days,dora_change_failure_rate,core_contributor_count,periphery_contributor_count,core_periphery_ratio,network_density,avg_degree_centrality,burstiness_cv_full_history
markov-root/atlas,0.3333,1,1,0,0,code_commits=48;pull_requests=3;issues=0,Unknown=2,good first issue;help wanted,9,,7,0.96,,,236.1,False,1,1,0,0,0,,,7,3,,,0.0,0,4,,0.0,10000.0,5000.0,,2,government=0;academic=0;nonprofit=0;company=0;unknown=3,,,0.0,0,0,,,,0.96
fvialibre/heseia-sentence-bias-dataset,,1,1,0,0,code_commits=9;pull_requests=0;issues=0,Unknown=1,good first issue;help wanted,9,,0,0.72,,,,False,1,1,0,0,0,,,0,0,2025-09-11T22:00:12+00:00,,,0,0,,,10000.0,10000.0,,1,government=0;academic=0;nonprofit=0;company=1;unknown=0,,,,0,0,,,,0.72
codeforjapan/BirdXplorer,0.9692,2,2,2,15,code_commits=500;pull_requests=130;issues=0,"Unknown=5;STORES, Inc.=1",good first issue;help wanted,10,,4,1.09,,,,True,1,1,0,0,0,59.2,7.9,100,100,2024-11-01T12:53:21+00:00,,0.5,2,4,1.0,0.06,8350.2,3853.7,10000.0,5,government=0;academic=0;nonprofit=0;company=1;unknown=5,,,0.0,2,4,0.3333,0.3333,0.3333,1.13
meshtastic/Meshtastic-Android,0.9248,1,1,2,149,code_commits=500;pull_requests=3788;issues=0,MobileMobile LLC=2;somenice=1;Unknown=7;DSDC Software=1;wustl=1,good first issue;help wanted,41,3.55,451,0.58,,,2.2,False,1,1,0,0,0,1.4,0.4,100,100,2026-04-27T20:23:44+00:00,2026-03-27T17:06:19+00:00,0.35,14,40,0.4,0.06,9388.5,9384.1,9826.1,7,government=0;academic=0;nonprofit=0;company=8;unknown=4,3.49,6.0,0.0083,1,4,0.2,0.4,0.4,0.58
meshtastic/web,0.8186,1,1,2,33,code_commits=500;pull_requests=612;issues=0,Russia=1;Unknown=27;NoCopyPaste=1;hire me!=1;Cruise=1;Bitlocus=1,good first issue;help wanted,21,0.75,275,1.04,,,11.7,False,1,1,0,0,0,43.9,0.0,100,100,2025-12-05T03:59:37+00:00,,0.6327,31,49,0.0,0.7,9095.0,5330.9,6776.9,27,government=0;academic=0;nonprofit=6;company=15;unknown=11,0.21,41.5,0.024,3,10,0.2308,0.2308,0.2308,1.17
meshtastic/firmware,0.8225,3,3,3,802,code_commits=12903;pull_requests=6294;issues=0,"Unknown=76;Erayd LTD=1;Murgatroid Heavy Industries, Ltd.=1;Exxeta=1;42ways GmbH, Teleteach GmbH=1;HelTecAutomation=1;Gone Epic=1;cognitiva.la=1;Weyr Associates=1;anthropics=1;mtoolstec=1;RAKWireless=1;Seeed=1;Privat=1;MonteOps=1;TAAAK-srl=1;CircuitLab & HeyOnCall=1;RGE Digital=1;Samoa House Library=1;Incom Systems=1;Geeksville Industries=1",good first issue;help wanted,38,3.5,2309,0.4,61.52,27.94,9.1,False,1,1,0,72,28,0.0,2.0,100,100,2025-11-20T12:14:29+00:00,2024-09-04T22:33:28+00:00,0.3283,87,265,0.5,0.58,5710.1,1321.8,4979.5,76,government=0;academic=0;nonprofit=13;company=33;unknown=51,3.44,6.2,0.017,9,16,0.36,0.15,0.15,0.4
civiform/civiform,0.8915,2,3,3,262,code_commits=500;pull_requests=8744;issues=0,Unknown=12;Exygy=1,good first issue;up-for-grabs,71,3.5,90,0.62,,,13.8,True,1,1,0,0,0,9.9,19.2,100,100,2026-02-10T22:09:07+00:00,2024-01-09T22:48:40+00:00,0.7271,626,861,21.4,0.21,8967.2,1482.9,10000.0,12,government=0;academic=0;nonprofit=0;company=2;unknown=11,2.46,7.0,0.0086,8,8,0.5,0.2417,0.2417,0.62
iiab/iiab,0.8671,1,1,0,0,code_commits=14579;pull_requests=2784;issues=0,Unknown=20;GitHub=2;Full-Stack Developer=1;Natural Innovation=1;Self-employed=1;SwITNet=1;Unleash Kids!=1,help wanted,13,0.89,131,0.89,29.87,27.08,10.2,False,1,1,7,8,12,2.9,2.1,100,100,2026-04-12T03:03:10+00:00,2024-11-19T22:00:50+00:00,0.9048,285,315,2.2,0.21,5831.6,5431.1,9011.4,20,government=0;academic=1;nonprofit=2;company=11;unknown=13,0.88,7.2,0.0311,3,5,0.375,0.5714,0.5714,1.22
ForumMagnum/ForumMagnum,0.926,4,4,2,158,code_commits=51404;pull_requests=10806;issues=0,"Unknown=61;Self-employed=1;Skry=1;Freelance=2;JustDo.com / MeteorSpark.com Meteor Consultancy=1;tone-row=1;StartupMill=1;Solara6=1;Moodle HQ=1;http://manchester.ac.uk=1;Tembo=1;Kickstand=1;QURI=1;UK AISI=1;QEEBI Marketing Inc.=1;neuronpedia.org=1;Développeur iOS Freelance=1;Enliven-se, S2A Interactive, @kendraio, @FlipFlopInteractive=1;X-Team=1;microlinkhq=1;anrok=1;GDi4K=1;huggingface=1;Founder @trycourier=1;Base2Industries=1;tilon-studio=1;aws=1;The Bakery=1;anthropics=1;paperpilots=1;YouTube=1;OrigenStudio=1;charles=1;Giving What We Can=1;chromaui=1;https://withcloud.co=1;80,000 Hours=1",00. Good First Issue;1. Important (Easy);2. Medium Priority (Easy);3. Low Priority (Easy);help wanted,36,17.39,151,0.47,104.77,54.56,,False,1,1,18,58,24,8.2,0.2,100,100,2026-02-27T01:55:28+00:00,2020-07-18T17:30:30+00:00,0.9949,779,783,0.2,0.02,8751.3,1058.6,6356.2,61,government=0;academic=0;nonprofit=1;company=50;unknown=47,0.04,0.8,0.0202,1,6,0.1429,0.4286,0.4286,0.78
Significant-Gravitas/AutoGPT,0.5492,1,1,2,3,code_commits=500;pull_requests=7910;issues=0,Unknown=16;databricks=2;AutoGPT=3;Significant-Gravitas=1;Sip Your Drink=1;Meta=1;spindle-app=1;Bachelors Student in Data Science=1,good first issue;help wanted,153,2.79,46243,0.55,,,7.4,False,1,1,0,0,0,22.2,0.1,100,100,2026-03-31T08:38:45+00:00,2025-03-24T18:11:56+00:00,0.6825,172,252,0.1,3.48,4334.7,4447.8,6248.5,16,government=0;academic=0;nonprofit=1;company=18;unknown=8,2.71,6.9,0.0186,13,13,0.5,0.1908,0.1908,1.66
mastodon/mastodon,0.8363,4,3,4,5826,code_commits=20742;pull_requests=23587;issues=0,"Unknown=67;Versent=1;IdeaCrew=1;Azuki=1;ReactiveDrop and @DFHack=1;Torchbox=1;Gradle=1;mySociety=1;koyu.space=1;Software Engineer @datadog=1;greenpeace-cee=1;UC Santa Barbara Library=1;Difference Engineers (@difference-engineers)=1;Timee=1;ILSystems=1;frontapp=1;Pixel Action Studio=1;Suricrasia Online=1;i like having company, yes=1;thoughtworks=1;VMware=1;relatel=1;Codeminer42=1;SocketDev=1;Unobvious-Technology / @brandedcode=1;Treasury Board of Canada Secretariat=1;Notos=1;Front-end developer at Mastodon=1;TCUWP=1;mastodon=1",fit for beginners,54,3.02,7430,0.32,54.73,17.48,1.9,False,2,2,0,52,48,16.4,2.7,100,100,2026-04-15T11:32:51+00:00,2026-03-10T12:53:20+00:00,0.86,860,1000,3.5,0.13,3146.9,1461.8,3544.4,67,government=0;academic=0;nonprofit=2;company=62;unknown=32,2.72,1.9,0.0056,7,8,0.4667,0.2286,0.2286,0.76
okfde/froide,0.707,2,2,4,18,code_commits=500;pull_requests=826;issues=0,Unknown=6;okfde=2;okfde @fragdenstaat @bugbakery=1,help wanted,19,,99,1.56,,,567.6,True,1,1,0,0,0,18.1,66.2,100,100,2026-03-12T15:13:11+00:00,,0.9907,106,107,67.5,0.06,6336.9,2932.2,8228.6,6,government=0;academic=0;nonprofit=1;company=3;unknown=5,,,0.0086,0,6,0.0,0.6667,0.6667,1.21
openplans/shareabouts,0.7686,1,1,1,3,code_commits=500;pull_requests=121;issues=0,Unknown=4;Sturm Software Engineering=1;Lyft=1;Joyous=1;BlinkTag Inc=1;Gitter=1,good first issue,10,0.61,151,1.39,,,33.9,False,1,1,0,0,0,814.8,3.6,100,100,2017-06-11T23:33:18+00:00,,1.0,74,74,902.0,0.08,8694.2,7238.0,6044.4,4,government=0;academic=0;nonprofit=1;company=6;unknown=6,0.51,1.9,0.0108,1,2,0.3333,0.6667,0.6667,1.65
codeforamerica/recordtrac,0.5918,2,2,0,0,code_commits=500;pull_requests=49;issues=0,Unknown=8;Netflix=1;onemedical=1,,10,,41,1.35,,,,False,1,1,0,0,0,16.1,384.6,100,49,2017-04-17T10:16:51+00:00,,1.0,65,65,,0.0,9918.1,4357.4,5000.0,8,government=0;academic=0;nonprofit=2;company=2;unknown=9,,,0.0,0,0,,,,1.01
CodeForAfrica/actNOW,0.7832,1,1,2,250,code_commits=500;pull_requests=1158;issues=0,CodeForAfrica=1,good first issue;help wanted,13,,1,0.75,,,,False,1,1,0,0,0,,,1,100,2021-04-23T19:38:00+00:00,,1.0,1,1,,0.0,10000.0,10000.0,10000.0,0,government=0;academic=0;nonprofit=0;company=1;unknown=0,,,0.0011,0,0,,,,0.99
CitizensFoundation/your-priorities-app,0.4181,1,1,0,0,code_commits=500;pull_requests=299;issues=0,Citizens Foundation=2,help wanted,10,0.41,38,1.84,,,,True,1,1,0,0,0,24.8,,34,100,2025-05-17T02:18:20+00:00,,1.0,13,13,,0.0,10000.0,10000.0,10000.0,0,government=0;academic=0;nonprofit=2;company=0;unknown=0,0.21,41.5,0.008,0,0,,,,1.64
mysociety/ceuk-marking,0.8099,1,1,1,22,code_commits=500;pull_requests=121;issues=0,mySociety=1;mysociety=1;Unknown=2,good first issue;help wanted,15,,0,0.91,,,12.7,False,1,1,0,0,0,1005.9,85.0,100,100,2024-05-30T10:47:03+00:00,,1.0,27,27,27.3,0.23,8665.9,8652.4,9779.8,2,government=0;academic=0;nonprofit=1;company=2;unknown=1,,,0.0,1,3,0.25,0.6667,0.6667,1.09
