repo_full_name,login,name,num_commits,additions,deletions,avg_additions_per_commit,avg_deletions_per_commit,is_bot
mastodon/mastodon,sorin-davidoi,Sorin Davidoi,81,0,0,0.0,0.0,False
mastodon/mastodon,ysksn,ysksn,88,0,0,0.0,0.0,False
mastodon/mastodon,shleeable,Shlee,93,0,0,0.0,0.0,False
mastodon/mastodon,nolanlawson,Nolan Lawson,94,0,0,0.0,0.0,False
mastodon/mastodon,mayaeh,mayaeh,99,0,0,0.0,0.0,False
mastodon/mastodon,yiskah,Shel,103,0,0,0.0,0.0,False
mastodon/mastodon,abcang,abcang,106,0,0,0.0,0.0,False
mastodon/mastodon,noellabo,Takeshi Umeda,120,0,0,0.0,0.0,False
mastodon/mastodon,ThisIsMissEm,Emelia Smith,127,0,0,0.0,0.0,False
mastodon/mastodon,unarist,unarist,140,0,0,0.0,0.0,False
mastodon/mastodon,tribela,Jeong Arm,142,0,0,0.0,0.0,False
mastodon/mastodon,oneiros,David Roetzel,172,0,0,0.0,0.0,False
mastodon/mastodon,akihikodaki,Akihiko Odaki,240,0,0,0.0,0.0,False
mastodon/mastodon,nschonni,Nick Schonning,255,0,0,0.0,0.0,False
mastodon/mastodon,ChaosExAnima,Echo,269,0,0,0.0,0.0,False
mastodon/mastodon,renchap,Renaud Chaput,308,0,0,0.0,0.0,False
mastodon/mastodon,diondiondion,,323,0,0,0.0,0.0,False
mastodon/mastodon,web-flow,GitHub Web Flow,590,0,0,0.0,0.0,False
mastodon/mastodon,github-actions[bot],,591,0,0,0.0,0.0,True
mastodon/mastodon,ykzts,Yamagishi Kazutoshi,679,0,0,0.0,0.0,False
mastodon/mastodon,dependabot-preview[bot],,734,0,0,0.0,0.0,True
mastodon/mastodon,renovate[bot],,1818,0,0,0.0,0.0,True
mastodon/mastodon,mjankowski,Matt Jankowski,2113,0,0,0.0,0.0,False
mastodon/mastodon,dependabot[bot],,2683,0,0,0.0,0.0,True
mastodon/mastodon,ClearlyClaire,Claire,2895,0,0,0.0,0.0,False
mastodon/mastodon,Gargron,Eugen Rochko,4273,0,0,0.0,0.0,False
okfde/froide,stefanw,Stefan Wehrmeyer,133,7960,4930,59.85,37.07,False
okfde/froide,dependabot[bot],dependabot[bot],7,1452,1575,207.43,225.0,True
okfde/froide,krmax44,krmax44,100,22315,15653,223.15,156.53,False
okfde/froide,noeddl,Anett Seeker,36,12951,13665,359.75,379.58,False
okfde/froide,fdsbot,fdsbot,6,788,610,131.33,101.67,True
okfde/froide,github-actions[bot],github-actions[bot],2,2496,869,1248.0,434.5,True
okfde/froide,pajowu,Kara Engelhardt,11,232,157,21.09,14.27,False
okfde/froide,weblate,Weblate,3,33,60,11.0,20.0,True
okfde/froide,ojauch,Oskar Jauch,1,1,1,1.0,1.0,False
okfde/froide,krmax44,Max,1,0,3,0.0,3.0,False
okfde/froide,bikubi,Jakob Wierzba,197,9559,5417,48.52,27.5,False
okfde/froide,fin,Markus ›fin‹ Hametner,1,20,0,20.0,0.0,False
okfde/froide,n0ctua,noctua,2,9,3,4.5,1.5,False
openplans/shareabouts,mjumbewu,Mjumbe Poe,367,14943,6049,40.72,16.48,False
openplans/shareabouts,BenSturmfels,Ben Sturmfels,23,67,375,2.91,16.3,False
openplans/shareabouts,dependabot[bot],dependabot[bot],3,3,3,1.0,1.0,True
openplans/shareabouts,yuhengd3,yuheng,1,11,4,11.0,4.0,False
openplans/shareabouts,fkh,Frank Hebbert,3,3,10,1.0,3.33,False
openplans/shareabouts,jae-huh,Jae Huh,2,2,2,1.0,1.0,False
openplans/shareabouts,,Jon,2,15,17,7.5,8.5,False
openplans/shareabouts,brendannee,Brendan Nee,1,0,7,0.0,7.0,False
openplans/shareabouts,gitter-badger,The Gitter Badger,1,2,0,2.0,0.0,False
openplans/shareabouts,,Luke Swart,8,4300,2372,537.5,296.5,False
openplans/shareabouts,victor-o-silva,Victor Oliveira da Silva,3,26,37,8.67,12.33,False
openplans/shareabouts,,Frank Hebbert,52,607,253,11.67,4.87,False
openplans/shareabouts,atogle,Aaron Ogle,33,1109,492,33.61,14.91,False
openplans/shareabouts,,Andy Cochran,1,1,7,1.0,7.0,False
codeforamerica/recordtrac,richaagarwal,Richa Agarwal,248,7012,51566,28.27,207.93,False
codeforamerica/recordtrac,bryant1410,Santiago Castro,1,15,15,15.0,15.0,False
codeforamerica/recordtrac,,Andrew Hyder,1,1,1,1.0,1.0,False
codeforamerica/recordtrac,geofft,Geoffrey Thomas,1,1,1,1.0,1.0,False
codeforamerica/recordtrac,criscristina,criscristina,1,1,1,1.0,1.0,False
codeforamerica/recordtrac,mjumbewu,Mjumbe Wawatu Ukweli,31,363,175,11.71,5.65,False
codeforamerica/recordtrac,,richa,11,1161,39456,105.55,3586.91,False
codeforamerica/recordtrac,gsf,Gabriel Farrell,2,2,2,1.0,1.0,False
codeforamerica/recordtrac,,Stephen Mather,1,1,1,1.0,1.0,False
codeforamerica/recordtrac,criscristina,criscristina,199,6168,46257,30.99,232.45,False
codeforamerica/recordtrac,migurski,Michal Migurski,2,4016,39998,2008.0,19999.0,False
codeforamerica/recordtrac,migurski,migurski,1,160,50,160.0,50.0,False
codeforamerica/recordtrac,waltz,CJ Bryan,1,28,6,28.0,6.0,False
CodeForAfrica/actNOW,kilemensi,Clemence Kyara,250,383,396,1.53,1.58,False
CodeForAfrica/actNOW,dependabot[bot],dependabot[bot],195,313,313,1.61,1.61,True
CodeForAfrica/actNOW,pre-commit-ci[bot],pre-commit-ci[bot],55,70,69,1.27,1.25,True
CitizensFoundation/your-priorities-app,rbjarnason,Robert Bjarnason,303,715950,694419,2362.87,2291.81,False
CitizensFoundation/your-priorities-app,rbjarnason,Róbert Viðar Bjarnason,197,7593,1248,38.54,6.34,False
mysociety/ceuk-marking,struan,Struan Donald,444,34559,7630,77.84,17.18,False
mysociety/ceuk-marking,sagepe,Sam Pearson,5,582,633,116.4,126.6,False
mysociety/ceuk-marking,dependabot[bot],dependabot[bot],22,2750,2992,125.0,136.0,True
mysociety/ceuk-marking,zarino,Zarino Zappia,22,2414,663,109.73,30.14,False
mysociety/ceuk-marking,alexander-griffen,Alexander Griffen,7,56,30,8.0,4.29,False
